variable_name,question_text,section,question_type,answer_options,visualization_type,notes
age,年齢,Section 1,single-choice,20代;30代;40代;50代;60代以上,bar,demographics
school_type,学校種,Section 1,single-choice,小学校;中学校;高等学校,bar,used to split charts
experience,教職経験年数,Section 1,single-choice,1年未満;1年以上5年未満;5年以上10年未満;10年以上15年未満;15年以上20年未満;20年以上,bar,
role,役職（主業務に最も近いものを選択してください。）,Section 1,single-choice,管理職（校長、副校長、教頭など）;主幹教諭;教務主任;指導教諭;教諭,bar,
ict_freq,授業でのICT活用,Section 1,single-choice,ほぼ毎時間;1週間に数回程度;1ヶ月に数回程度;ほとんど使用していない,bar,
leaf_duration,LEAFシステム（BookRoll，分析ツール）を授業・授業外（宿題など）で何か月くらい利用していますか。※利用期間がX年Yか月だった場合、「X/Y」というようにスラッシュで区切って、全て半角で入力してください（例：1年の場合→1/0、2年3か月の場合→2/3、未使用の場合→0/0）,Section 1,duration,0;1–3;4–6;7–12;13–24;25–36;37–60;61+,histogram,parse X/Y → months → bin
leaf_freq,LEAFシステム（BookRoll，分析ツール）を授業・授業外（宿題など）でどれくらい利用していますか,Section 1,single-choice,ほぼ毎時間;1週間に数回程度;1ヶ月に数回程度;ほとんど使用していない,bar,
subjects,LEAFシステム（BookRoll，分析ツール）をどの教科で使用しますか（複数選択可）,Section 1,multi,国語;社会;算数・数学;理科;外国語;その他,bar,multi-select; totals>100%
br_features,BookRollでよく使う機能を選んでください（複数選択可）,Section 2,multi,メモ;マーカー;手書き;クイズ;URLリコメンド;辞書;タイマー;ほとんど使ったことがない;その他,bar,
lp_features,分析ツール（ログパレ）でよく使う機能を選んでください（複数選択可）,Section 3,multi,閲覧時間集計;マーカー分析;メモ分析;クイズ集計;ワードクラウド;ペンストローク分析;グループ編成;AI推薦;理解度チェックダッシュボード;AIエージェント（AI先生・Tammy等）;ほとんど使ったことがない;その他,bar,
purp_distribute,教材を配布するため,Section 4,likert_freq,頻繁に使用している;使用することがある;あまり使用しない;全く使用しない;当該機能を知らない,likert,
eff_understanding,児童生徒の理解度が高まったと感じる,Section 5,likert_agree,あてはまる;少しあてはまる;あまりあてはまらない;あてはまらない;使っていない,likert,
free_text,自由記述,Section 6,text,,none,exclude from charts
hours_overtime,残業時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,Section 7,hours,0;0.1–1.9;2–3.9;4–5.9;6–9.9;10–14.9;15–19.9;20+,histogram,
purp_selfreview,児童・生徒に自分の解答を振り返らせるため,Section 4,likert_freq,頻繁に使用している;使用することがある;あまり使用しない;全く使用しない;当該機能を知らない,likert,
purp_showanswers,児童・生徒にクラスの人の解答を提示・参照させるため,Section 4,likert_freq,頻繁に使用している;使用することがある;あまり使用しない;全く使用しない;当該機能を知らない,likert,
purp_showlearning,児童・生徒にクラスの人の学び方を提示・参照させるため,Section 4,likert_freq,頻繁に使用している;使用することがある;あまり使用しない;全く使用しない;当該機能を知らない,likert,
purp_ai_recommend,児童・生徒にAIによる問題推薦やアドバイスを受けさせるため,Section 4,likert_freq,頻繁に使用している;使用することがある;あまり使用しない;全く使用しない;当該機能を知らない,likert,
purp_grouping,データに基づいてグループを編成するため,Section 4,likert_freq,頻繁に使用している;使用することがある;あまり使用しない;全く使用しない;当該機能を知らない,likert,
purp_class_trends,クラス全体の傾向を見るため,Section 4,likert_freq,頻繁に使用している;使用することがある;あまり使用しない;全く使用しない;当該機能を知らない,likert,
purp_individual,個人の様子を見るため,Section 4,likert_freq,頻繁に使用している;使用することがある;あまり使用しない;全く使用しない;当該機能を知らない,likert,
purp_process,取り組みのプロセスを見るため,Section 4,likert_freq,頻繁に使用している;使用することがある;あまり使用しない;全く使用しない;当該機能を知らない,likert,
eff_prep_time,授業準備時間が短縮した,Section 5,likert_agree,あてはまる;少しあてはまる;あまりあてはまらない;あてはまらない;使っていない,likert,
eff_evidence_design,根拠に基づいた授業設計や教材改善を行えるようになった,Section 5,likert_agree,あてはまる;少しあてはまる;あまりあてはまらない;あてはまらない;使っていない,likert,
eff_learning_change,分析ツールを使用することで子供たちの学習方法に変化が生じた,Section 5,likert_agree,あてはまる;少しあてはまる;あまりあてはまらない;あてはまらない;使っていない,likert,
eff_personalized,個別最適な学びを実現する支援になったと感じる,Section 5,likert_agree,あてはまる;少しあてはまる;あまりあてはまらない;あてはまらない;使っていない,likert,
eff_active_deep,主体的で対話的で深い学びを実現する支援になったと感じる,Section 5,likert_agree,あてはまる;少しあてはまる;あまりあてはまらない;あてはまらない;使っていない,likert,
eff_collab,協働的な学びを実現する支援になったと感じる,Section 5,likert_agree,あてはまる;少しあてはまる;あまりあてはまらない;あてはまらない;使っていない,likert,
eff_inquiry,探究的な学びを実現する支援になったと感じる,Section 5,likert_agree,あてはまる;少しあてはまる;あまりあてはまらない;あてはまらない;使っていない,likert,
ux_easy,使い方・操作手順がわかりやすい,Section 5,likert_agree,あてはまる;少しあてはまる;あまりあてはまらない;あてはまらない;使っていない,likert,
satisfaction,LEAFシステムに満足している,Section 5,likert_agree,あてはまる;少しあてはまる;あまりあてはまらない;あてはまらない;使っていない,likert,
hours_assess,児童生徒の学力を把握する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,Section 7,hours,0;0.1–1.9;2–3.9;4–5.9;6–9.9;10–14.9;15–19.9;20+,histogram,
hours_print,授業に関するプリント作成する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,Section 7,hours,0;0.1–1.9;2–3.9;4–5.9;6–9.9;10–14.9;15–19.9;20+,histogram,
hours_collect,提出物を回収・確認する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,Section 7,hours,0;0.1–1.9;2–3.9;4–5.9;6–9.9;10–14.9;15–19.9;20+,histogram,
hours_tutoring,課外に児童生徒を個別指導する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,Section 7,hours,0;0.1–1.9;2–3.9;4–5.9;6–9.9;10–14.9;15–19.9;20+,histogram,
